#{"t_start": 1692689868.00736, "env_id": "CartPole-v1"}
r,l,t
23.0,23,0.034456
26.0,26,0.119745
25.0,25,0.197548
18.0,18,0.209517
44.0,44,0.361134
31.0,31,0.440931
176.0,176,0.846903
45.0,45,0.989541
63.0,63,1.145124
129.0,129,1.454785
159.0,159,1.846024
163.0,163,2.24005
281.0,281,2.880695
364.0,364,3.801565
274.0,274,4.432451
280.0,280,5.124658
269.0,269,5.808458
210.0,210,6.283483
166.0,166,6.670524
145.0,145,7.044596
206.0,206,7.513937
391.0,391,9.11062
500.0,500,12.145744
